id,text,label,source,length,has_threat,sentiment_hint
Charlie_044,"If you leave me, I’ll hurt myself.  Just saying.",threat,Charlie,48,True,negative
David_045,You always overreact.  Please.,gaslighting,David,30,False,negative
David_046,"What time will you be home?  You know that, right?",neutral,David,50,False,neutral
Charlie_047,"If you leave me, I’ll hurt myself.",threat,Charlie,34,True,negative
Charlie_048,What time will you be home?  Please.,neutral,Charlie,36,False,neutral
Frank_049,You'll be sorry you ever left.,threat,Frank,30,True,negative
Bob_050,You always overreact.  Just saying.,gaslighting,Bob,35,False,negative
Alice_051,Nothing. I’m fine.  Please.,silent_treatment,Alice,27,False,negative
Eve_052,Nothing. I’m fine.  Please.,silent_treatment,Eve,27,False,negative
Alice_053,That never happened. You're imagining things.  Please.,gaslighting,Alice,54,False,negative
Eve_054,"You remember it wrong.  You know that, right?",gaslighting,Eve,45,False,negative
Bob_055,Whatever. It’s your life.,passive_aggressive,Bob,25,False,negative
Grace_056,"*ignores messages*  You know that, right?",silent_treatment,Grace,41,False,negative
Henry_057,You made me act this way.  Please.,blame_shifting,Henry,34,False,negative
Bob_058,You'll regret this.,threat,Bob,19,True,negative
Henry_059,Don't talk to me.  Just saying.,silent_treatment,Henry,31,False,negative
Bob_060,"If you leave me, I’ll hurt myself.",threat,Bob,34,True,negative
Charlie_061,I don’t feel like talking.,silent_treatment,Charlie,26,False,negative
Jack_062,"If you hadn’t done that, I wouldn’t be like this.  Okay?",blame_shifting,Jack,56,False,negative
Jack_063,"I guess I just don't matter to you anymore.  You know that, right?",guilt_trip,Jack,66,False,negative
Henry_064,You're always starting fights.  Just saying.,blame_shifting,Henry,44,False,negative
David_065,"How was your day?  You know that, right?",neutral,David,40,False,neutral
Ivy_066,You’re the reason everything is ruined.  Okay?,blame_shifting,Ivy,46,False,negative
Bob_067,"You'll regret this.  You know that, right?",threat,Bob,42,True,negative
Bob_068,How was your day?  Just saying.,neutral,Bob,31,False,neutral
Ivy_069,You'll regret this.,threat,Ivy,19,True,negative
Grace_070,Don’t blame me for what happens next.,threat,Grace,37,True,negative
Eve_071,You always overreact.  Just saying.,gaslighting,Eve,35,False,negative
Henry_072,You remember it wrong.  Okay?,gaslighting,Henry,29,False,negative
Jack_073,That never happened. You're imagining things.  Please.,gaslighting,Jack,54,False,negative
Grace_074,"I always put you first, and this is what I get?  Please.",guilt_trip,Grace,56,False,negative
Charlie_075,"I always put you first, and this is what I get?",guilt_trip,Charlie,47,False,negative
Ivy_076,You're always starting fights.  Okay?,blame_shifting,Ivy,37,False,negative
Charlie_077,You'll be sorry you ever left.  Just saying.,threat,Charlie,44,True,negative
Eve_078,That never happened. You're imagining things.  Just saying.,gaslighting,Eve,59,False,negative
Eve_079,That never happened. You're imagining things.  Just saying.,gaslighting,Eve,59,False,negative
Alice_080,You always overreact.  Just saying.,gaslighting,Alice,35,False,negative
Henry_081,"What time will you be home?  You know that, right?",neutral,Henry,50,False,neutral
Bob_082,I never said that. You’re making it up.,gaslighting,Bob,39,False,negative
Ivy_083,I don’t feel like talking.,silent_treatment,Ivy,26,False,negative
Grace_084,*ignores messages*  Okay?,silent_treatment,Grace,25,False,negative
David_085,"Whatever. It’s your life.  You know that, right?",passive_aggressive,David,48,False,negative
Grace_086,How was your day?  Please.,neutral,Grace,26,False,neutral
Frank_087,Thanks for remembering I exist.  Please.,passive_aggressive,Frank,40,False,negative
Charlie_088,"I've sacrificed so much, and you don't even care.  Just saying.",guilt_trip,Charlie,63,False,negative
Henry_089,I hope you're proud of yourself.,passive_aggressive,Henry,32,False,negative
David_090,"I've sacrificed so much, and you don't even care.",guilt_trip,David,49,False,negative
Eve_091,Nothing. I’m fine.  Just saying.,silent_treatment,Eve,32,False,negative
Frank_092,"If you leave me, I’ll hurt myself.  Okay?",threat,Frank,41,True,negative
Bob_093,I guess I just don't matter to you anymore.  Just saying.,guilt_trip,Bob,57,False,negative
Eve_094,I never said that. You’re making it up.,gaslighting,Eve,39,False,negative
Jack_095,Good morning! Have a great day.  Just saying.,neutral,Jack,45,False,neutral
Ivy_096,"You’re too sensitive.  You know that, right?",gaslighting,Ivy,44,False,negative
Charlie_097,I hope you're proud of yourself.,passive_aggressive,Charlie,32,False,negative
Frank_098,"I don’t feel like talking.  You know that, right?",silent_treatment,Frank,49,False,negative
Frank_099,"I hope you're proud of yourself.  You know that, right?",passive_aggressive,Frank,55,False,negative
Frank_100,I’m heading to the gym.,neutral,Frank,23,False,neutral
Bob_101,"You never appreciate anything I do.  You know that, right?",guilt_trip,Bob,58,False,negative
Ivy_102,What time will you be home?  Please.,neutral,Ivy,36,False,neutral
Henry_103,"I’m heading to the gym.  You know that, right?",neutral,Henry,46,False,neutral
Henry_104,"Don't talk to me.  You know that, right?",silent_treatment,Henry,40,False,negative
Frank_105,I don’t feel like talking.,silent_treatment,Frank,26,False,negative
Ivy_106,"Sure, I’m not upset. Why would I be?  You know that, right?",passive_aggressive,Ivy,59,False,negative
Ivy_107,Nothing. I’m fine.  Just saying.,silent_treatment,Ivy,32,False,negative
Grace_108,You made me act this way.  Okay?,blame_shifting,Grace,32,False,negative
Ivy_109,You’re too sensitive.,gaslighting,Ivy,21,False,negative
Charlie_110,I guess I just don't matter to you anymore.  Just saying.,guilt_trip,Charlie,57,False,negative
Ivy_111,You made me act this way.  Just saying.,blame_shifting,Ivy,39,False,negative
Charlie_112,I’m heading to the gym.,neutral,Charlie,23,False,neutral
Henry_113,I hope you're proud of yourself.  Please.,passive_aggressive,Henry,41,False,negative
Alice_114,Nothing. I’m fine.,silent_treatment,Alice,18,False,negative
Henry_115,Fine. Do whatever you want.,passive_aggressive,Henry,27,False,negative
Grace_116,"I always put you first, and this is what I get?  Just saying.",guilt_trip,Grace,61,False,negative
Eve_117,You’re too sensitive.,gaslighting,Eve,21,False,negative
Ivy_118,"...  You know that, right?",silent_treatment,Ivy,26,False,negative
Grace_119,I guess I just don't matter to you anymore.  Okay?,guilt_trip,Grace,50,False,negative
Ivy_120,Don’t blame me for what happens next.,threat,Ivy,37,True,negative
Alice_121,"Sure, I’m not upset. Why would I be?  Just saying.",passive_aggressive,Alice,50,False,negative
Alice_122,You think you can survive without me?,threat,Alice,37,False,negative
Eve_123,"I always put you first, and this is what I get?  Just saying.",guilt_trip,Eve,61,False,negative
Bob_124,You'll regret this.  Just saying.,threat,Bob,33,True,negative
Frank_125,What time will you be home?  Okay?,neutral,Frank,34,False,neutral
David_126,You always overreact.  Okay?,gaslighting,David,28,False,negative
Ivy_127,"Thanks for remembering I exist.  You know that, right?",passive_aggressive,Ivy,54,False,negative
Bob_128,You’re the reason everything is ruined.,blame_shifting,Bob,39,False,negative
Charlie_129,"After everything I did for you, this is how you repay me?  Please.",guilt_trip,Charlie,66,False,negative
Charlie_130,"You’re the reason everything is ruined.  You know that, right?",blame_shifting,Charlie,62,False,negative
Jack_131,Fine. Do whatever you want.  Okay?,passive_aggressive,Jack,34,False,negative
Ivy_132,Don’t blame me for what happens next.  Okay?,threat,Ivy,44,True,negative
Charlie_133,"I’m heading to the gym.  You know that, right?",neutral,Charlie,46,False,neutral
David_134,*ignores messages*,silent_treatment,David,18,False,negative
David_135,I’m heading to the gym.,neutral,David,23,False,neutral
Charlie_136,"Sure, I’m not upset. Why would I be?",passive_aggressive,Charlie,36,False,negative
Alice_137,I don’t feel like talking.  Please.,silent_treatment,Alice,35,False,negative
Frank_138,"You'll regret this.  You know that, right?",threat,Frank,42,True,negative
David_139,Nothing. I’m fine.  Just saying.,silent_treatment,David,32,False,negative
Frank_140,You think you can survive without me?  Just saying.,threat,Frank,51,False,negative
Frank_141,"I always put you first, and this is what I get?  Please.",guilt_trip,Frank,56,False,negative
Eve_142,Don't talk to me.,silent_treatment,Eve,17,False,negative
Charlie_143,Let’s go out for dinner.  Okay?,neutral,Charlie,31,False,neutral
Bob_144,Fine. Do whatever you want.  Just saying.,passive_aggressive,Bob,41,False,negative
Frank_145,You made me act this way.  Please.,blame_shifting,Frank,34,False,negative
Charlie_146,You never appreciate anything I do.  Please.,guilt_trip,Charlie,44,False,negative
Eve_147,That never happened. You're imagining things.  Please.,gaslighting,Eve,54,False,negative
David_148,I hope you're proud of yourself.  Just saying.,passive_aggressive,David,46,False,negative
David_149,How was your day?,neutral,David,17,False,neutral
Charlie_150,You always overreact.  Okay?,gaslighting,Charlie,28,False,negative
Frank_151,You never appreciate anything I do.  Okay?,guilt_trip,Frank,42,False,negative
David_152,Fine. Do whatever you want.  Just saying.,passive_aggressive,David,41,False,negative
Grace_153,You think you can survive without me?  Just saying.,threat,Grace,51,False,negative
Henry_154,*ignores messages*  Please.,silent_treatment,Henry,27,False,negative
Henry_155,"If you hadn’t done that, I wouldn’t be like this.  Just saying.",blame_shifting,Henry,63,False,negative
Frank_156,"Sure, I’m not upset. Why would I be?  Please.",passive_aggressive,Frank,45,False,negative
Ivy_157,You remember it wrong.  Please.,gaslighting,Ivy,31,False,negative
Ivy_158,"I always put you first, and this is what I get?  You know that, right?",guilt_trip,Ivy,70,False,negative
Bob_159,It’s always your fault.,blame_shifting,Bob,23,False,negative
Jack_160,"You'll regret this.  You know that, right?",threat,Jack,42,True,negative
Grace_161,Fine. Do whatever you want.  Just saying.,passive_aggressive,Grace,41,False,negative
Alice_162,"If you hadn’t done that, I wouldn’t be like this.  Okay?",blame_shifting,Alice,56,False,negative
Alice_163,"I don’t feel like talking.  You know that, right?",silent_treatment,Alice,49,False,negative
Frank_164,"You made me act this way.  You know that, right?",blame_shifting,Frank,48,False,negative
Eve_165,You'll be sorry you ever left.  Just saying.,threat,Eve,44,True,negative
Jack_166,You never appreciate anything I do.  Please.,guilt_trip,Jack,44,False,negative
Alice_167,"Sure, I’m not upset. Why would I be?  Okay?",passive_aggressive,Alice,43,False,negative
Bob_168,You made me act this way.  Just saying.,blame_shifting,Bob,39,False,negative
Alice_169,"...  You know that, right?",silent_treatment,Alice,26,False,negative
Bob_170,I never said that. You’re making it up.,gaslighting,Bob,39,False,negative
Grace_171,"You'll regret this.  You know that, right?",threat,Grace,42,True,negative
Ivy_172,"If you leave me, I’ll hurt myself.  You know that, right?",threat,Ivy,57,True,negative
Frank_173,I never said that. You’re making it up.,gaslighting,Frank,39,False,negative
Bob_174,Don't talk to me.  Okay?,silent_treatment,Bob,24,False,negative
Bob_175,"You're always starting fights.  You know that, right?",blame_shifting,Bob,53,False,negative
Bob_176,"You think you can survive without me?  You know that, right?",threat,Bob,60,False,negative
Charlie_177,That never happened. You're imagining things.  Please.,gaslighting,Charlie,54,False,negative
Bob_178,You’re the reason everything is ruined.,blame_shifting,Bob,39,False,negative
Jack_179,Don't talk to me.  Please.,silent_treatment,Jack,26,False,negative
Ivy_180,You’re the reason everything is ruined.,blame_shifting,Ivy,39,False,negative
Henry_181,You think you can survive without me?  Okay?,threat,Henry,44,False,negative
Henry_182,Nothing. I’m fine.  Okay?,silent_treatment,Henry,25,False,negative
Frank_183,You're always starting fights.  Okay?,blame_shifting,Frank,37,False,negative
Henry_184,Whatever. It’s your life.  Just saying.,passive_aggressive,Henry,39,False,negative
Alice_185,Thanks for remembering I exist.  Just saying.,passive_aggressive,Alice,45,False,negative
Ivy_186,Good morning! Have a great day.,neutral,Ivy,31,False,neutral
Jack_187,You remember it wrong.  Just saying.,gaslighting,Jack,36,False,negative
Grace_188,You made me act this way.  Please.,blame_shifting,Grace,34,False,negative
Grace_189,You’re too sensitive.  Okay?,gaslighting,Grace,28,False,negative
Henry_190,...  Okay?,silent_treatment,Henry,10,False,negative
Henry_191,You’re the reason everything is ruined.  Please.,blame_shifting,Henry,48,False,negative
Alice_192,What time will you be home?  Just saying.,neutral,Alice,41,False,neutral
Eve_193,"After everything I did for you, this is how you repay me?  Just saying.",guilt_trip,Eve,71,False,negative
Henry_194,You’re the reason everything is ruined.  Please.,blame_shifting,Henry,48,False,negative
Henry_195,I never said that. You’re making it up.,gaslighting,Henry,39,False,negative
David_196,I guess I just don't matter to you anymore.  Just saying.,guilt_trip,David,57,False,negative
Frank_197,"After everything I did for you, this is how you repay me?  Please.",guilt_trip,Frank,66,False,negative
Bob_198,You'll regret this.  Okay?,threat,Bob,26,True,negative
David_199,"I always put you first, and this is what I get?",guilt_trip,David,47,False,negative
Ivy_200,"Sure, I’m not upset. Why would I be?  Okay?",passive_aggressive,Ivy,43,False,negative
Frank_201,You made me act this way.  Just saying.,blame_shifting,Frank,39,False,negative
Charlie_202,I hope you're proud of yourself.  Okay?,passive_aggressive,Charlie,39,False,negative
Eve_203,"I always put you first, and this is what I get?  Just saying.",guilt_trip,Eve,61,False,negative
Ivy_204,I hope you're proud of yourself.  Okay?,passive_aggressive,Ivy,39,False,negative
David_205,It’s always your fault.  Just saying.,blame_shifting,David,37,False,negative
Frank_206,"It’s always your fault.  You know that, right?",blame_shifting,Frank,46,False,negative
Ivy_207,"You’re the reason everything is ruined.  You know that, right?",blame_shifting,Ivy,62,False,negative
Ivy_208,"Sure, I’m not upset. Why would I be?  Please.",passive_aggressive,Ivy,45,False,negative
Eve_209,You never appreciate anything I do.  Please.,guilt_trip,Eve,44,False,negative
David_210,You made me act this way.  Please.,blame_shifting,David,34,False,negative
Charlie_211,You always overreact.  Just saying.,gaslighting,Charlie,35,False,negative
Charlie_212,"Don't talk to me.  You know that, right?",silent_treatment,Charlie,40,False,negative
Alice_213,"I've sacrificed so much, and you don't even care.  Okay?",guilt_trip,Alice,56,False,negative
Bob_214,That never happened. You're imagining things.  Just saying.,gaslighting,Bob,59,False,negative
Ivy_215,Nothing. I’m fine.  Just saying.,silent_treatment,Ivy,32,False,negative
Ivy_216,Fine. Do whatever you want.  Okay?,passive_aggressive,Ivy,34,False,negative
Henry_217,Good morning! Have a great day.  Okay?,neutral,Henry,38,False,neutral
Charlie_218,"If you hadn’t done that, I wouldn’t be like this.  Please.",blame_shifting,Charlie,58,False,negative
Jack_219,"Whatever. It’s your life.  You know that, right?",passive_aggressive,Jack,48,False,negative
Grace_220,Let’s go out for dinner.  Please.,neutral,Grace,33,False,neutral
Bob_221,I’m heading to the gym.  Please.,neutral,Bob,32,False,neutral
Grace_222,You’re the reason everything is ruined.  Just saying.,blame_shifting,Grace,53,False,negative
Grace_223,It’s always your fault.  Okay?,blame_shifting,Grace,30,False,negative
Bob_224,"I never said that. You’re making it up.  You know that, right?",gaslighting,Bob,62,False,negative
Alice_225,You'll regret this.  Just saying.,threat,Alice,33,True,negative
Charlie_226,"If you leave me, I’ll hurt myself.  Please.",threat,Charlie,43,True,negative
David_227,You think you can survive without me?,threat,David,37,False,negative
Charlie_228,Don't talk to me.  Just saying.,silent_treatment,Charlie,31,False,negative
David_229,I never said that. You’re making it up.,gaslighting,David,39,False,negative
Bob_230,You made me act this way.  Okay?,blame_shifting,Bob,32,False,negative
Frank_231,Thanks for remembering I exist.  Just saying.,passive_aggressive,Frank,45,False,negative
Eve_232,That never happened. You're imagining things.,gaslighting,Eve,45,False,negative
Charlie_233,"Whatever. It’s your life.  You know that, right?",passive_aggressive,Charlie,48,False,negative
Frank_234,You made me act this way.  Okay?,blame_shifting,Frank,32,False,negative
Bob_235,"Nothing. I’m fine.  You know that, right?",silent_treatment,Bob,41,False,negative
Bob_236,Don't talk to me.  Just saying.,silent_treatment,Bob,31,False,negative
David_237,You made me act this way.  Please.,blame_shifting,David,34,False,negative
Ivy_238,You never appreciate anything I do.,guilt_trip,Ivy,35,False,negative
Bob_239,I don’t feel like talking.  Just saying.,silent_treatment,Bob,40,False,negative
Eve_240,"That never happened. You're imagining things.  You know that, right?",gaslighting,Eve,68,False,negative
Bob_241,I’m heading to the gym.  Okay?,neutral,Bob,30,False,neutral
Jack_242,I hope you're proud of yourself.  Okay?,passive_aggressive,Jack,39,False,negative
Grace_243,You'll regret this.,threat,Grace,19,True,negative
Ivy_244,"You're always starting fights.  You know that, right?",blame_shifting,Ivy,53,False,negative
Ivy_245,"If you leave me, I’ll hurt myself.  Okay?",threat,Ivy,41,True,negative
Henry_246,That never happened. You're imagining things.  Just saying.,gaslighting,Henry,59,False,negative
David_247,It’s always your fault.  Please.,blame_shifting,David,32,False,negative
Henry_248,I hope you're proud of yourself.  Just saying.,passive_aggressive,Henry,46,False,negative
David_249,"Good morning! Have a great day.  You know that, right?",neutral,David,54,False,neutral
Alice_250,"If you hadn’t done that, I wouldn’t be like this.  Okay?",blame_shifting,Alice,56,False,negative
Eve_251,I guess I just don't matter to you anymore.  Okay?,guilt_trip,Eve,50,False,negative
Jack_252,"You’re the reason everything is ruined.  You know that, right?",blame_shifting,Jack,62,False,negative
Grace_253,You'll be sorry you ever left.  Okay?,threat,Grace,37,True,negative
Jack_254,Whatever. It’s your life.  Please.,passive_aggressive,Jack,34,False,negative
Eve_255,Good morning! Have a great day.,neutral,Eve,31,False,neutral
Grace_256,Don’t blame me for what happens next.,threat,Grace,37,True,negative
Ivy_257,"If you leave me, I’ll hurt myself.  You know that, right?",threat,Ivy,57,True,negative
Eve_258,I don’t feel like talking.  Just saying.,silent_treatment,Eve,40,False,negative
Henry_259,Nothing. I’m fine.,silent_treatment,Henry,18,False,negative
Alice_260,What time will you be home?  Please.,neutral,Alice,36,False,neutral
Ivy_261,"Thanks for remembering I exist.  You know that, right?",passive_aggressive,Ivy,54,False,negative
Charlie_262,...  Please.,silent_treatment,Charlie,12,False,negative
Bob_263,I don’t feel like talking.  Just saying.,silent_treatment,Bob,40,False,negative
Alice_264,You never appreciate anything I do.  Okay?,guilt_trip,Alice,42,False,negative
Bob_265,You think you can survive without me?  Just saying.,threat,Bob,51,False,negative
Charlie_266,I hope you're proud of yourself.  Okay?,passive_aggressive,Charlie,39,False,negative
Bob_267,Good morning! Have a great day.  Please.,neutral,Bob,40,False,neutral
Eve_268,Don't talk to me.,silent_treatment,Eve,17,False,negative
Jack_269,You think you can survive without me?  Okay?,threat,Jack,44,False,negative
Eve_270,"You remember it wrong.  You know that, right?",gaslighting,Eve,45,False,negative
Jack_271,Fine. Do whatever you want.  Okay?,passive_aggressive,Jack,34,False,negative
Henry_272,"Sure, I’m not upset. Why would I be?  Okay?",passive_aggressive,Henry,43,False,negative
Grace_273,Let’s go out for dinner.  Okay?,neutral,Grace,31,False,neutral
Eve_274,You never appreciate anything I do.  Just saying.,guilt_trip,Eve,49,False,negative
Frank_275,You remember it wrong.  Just saying.,gaslighting,Frank,36,False,negative
Henry_276,Thanks for remembering I exist.,passive_aggressive,Henry,31,False,negative
Ivy_277,"You’re the reason everything is ruined.  You know that, right?",blame_shifting,Ivy,62,False,negative
Alice_278,"If you hadn’t done that, I wouldn’t be like this.  You know that, right?",blame_shifting,Alice,72,False,negative
Henry_279,You remember it wrong.  Just saying.,gaslighting,Henry,36,False,negative
Jack_280,You're always starting fights.,blame_shifting,Jack,30,False,negative
Alice_281,What time will you be home?,neutral,Alice,27,False,neutral
Charlie_282,"You remember it wrong.  You know that, right?",gaslighting,Charlie,45,False,negative
Henry_283,"I've sacrificed so much, and you don't even care.  Okay?",guilt_trip,Henry,56,False,negative
Jack_284,Don’t blame me for what happens next.  Just saying.,threat,Jack,51,True,negative
David_285,Don’t blame me for what happens next.  Okay?,threat,David,44,True,negative
Eve_286,Good morning! Have a great day.  Please.,neutral,Eve,40,False,neutral
Henry_287,You'll be sorry you ever left.,threat,Henry,30,True,negative
David_288,"Sure, I’m not upset. Why would I be?",passive_aggressive,David,36,False,negative
Charlie_289,Let’s go out for dinner.  Just saying.,neutral,Charlie,38,False,neutral
Eve_290,You think you can survive without me?  Okay?,threat,Eve,44,False,negative
Alice_291,"If you hadn’t done that, I wouldn’t be like this.  Please.",blame_shifting,Alice,58,False,negative
Grace_292,Thanks for remembering I exist.  Okay?,passive_aggressive,Grace,38,False,negative
Frank_293,"If you hadn’t done that, I wouldn’t be like this.  You know that, right?",blame_shifting,Frank,72,False,negative
Frank_294,That never happened. You're imagining things.  Okay?,gaslighting,Frank,52,False,negative
Charlie_295,You'll regret this.,threat,Charlie,19,True,negative
Henry_296,It’s always your fault.  Just saying.,blame_shifting,Henry,37,False,negative
David_297,Don't talk to me.,silent_treatment,David,17,False,negative
Henry_298,That never happened. You're imagining things.  Just saying.,gaslighting,Henry,59,False,negative
David_299,You'll regret this.  Please.,threat,David,28,True,negative
Ivy_300,I guess I just don't matter to you anymore.  Okay?,guilt_trip,Ivy,50,False,negative
Henry_301,That never happened. You're imagining things.,gaslighting,Henry,45,False,negative
Charlie_302,You’re too sensitive.  Okay?,gaslighting,Charlie,28,False,negative
Bob_303,You'll regret this.,threat,Bob,19,True,negative
Grace_304,"If you hadn’t done that, I wouldn’t be like this.  You know that, right?",blame_shifting,Grace,72,False,negative
Ivy_305,That never happened. You're imagining things.,gaslighting,Ivy,45,False,negative
Alice_306,You always overreact.  Just saying.,gaslighting,Alice,35,False,negative
Henry_307,I’m heading to the gym.  Okay?,neutral,Henry,30,False,neutral
Alice_308,How was your day?  Okay?,neutral,Alice,24,False,neutral
David_309,I guess I just don't matter to you anymore.,guilt_trip,David,43,False,negative
Grace_310,You made me act this way.  Okay?,blame_shifting,Grace,32,False,negative
Alice_311,Don't talk to me.  Just saying.,silent_treatment,Alice,31,False,negative
Bob_312,I never said that. You’re making it up.  Please.,gaslighting,Bob,48,False,negative
Eve_313,You’re the reason everything is ruined.  Please.,blame_shifting,Eve,48,False,negative
Henry_314,That never happened. You're imagining things.  Please.,gaslighting,Henry,54,False,negative
Bob_315,You're always starting fights.  Okay?,blame_shifting,Bob,37,False,negative
Grace_316,I never said that. You’re making it up.  Please.,gaslighting,Grace,48,False,negative
Ivy_317,"After everything I did for you, this is how you repay me?  Okay?",guilt_trip,Ivy,64,False,negative
Charlie_318,I don’t feel like talking.  Okay?,silent_treatment,Charlie,33,False,negative
Grace_319,"You made me act this way.  You know that, right?",blame_shifting,Grace,48,False,negative
Ivy_320,You’re the reason everything is ruined.  Just saying.,blame_shifting,Ivy,53,False,negative
Ivy_321,Fine. Do whatever you want.  Just saying.,passive_aggressive,Ivy,41,False,negative
Charlie_322,It’s always your fault.  Okay?,blame_shifting,Charlie,30,False,negative
Frank_323,I guess I just don't matter to you anymore.  Please.,guilt_trip,Frank,52,False,negative
Henry_324,You never appreciate anything I do.  Just saying.,guilt_trip,Henry,49,False,negative
Jack_325,How was your day?  Okay?,neutral,Jack,24,False,neutral
Bob_326,"I've sacrificed so much, and you don't even care.  Please.",guilt_trip,Bob,58,False,negative
Ivy_327,"It’s always your fault.  You know that, right?",blame_shifting,Ivy,46,False,negative
Alice_328,You're always starting fights.  Just saying.,blame_shifting,Alice,44,False,negative
Jack_329,"Sure, I’m not upset. Why would I be?  Just saying.",passive_aggressive,Jack,50,False,negative
Frank_330,You remember it wrong.  Please.,gaslighting,Frank,31,False,negative
Eve_331,"I always put you first, and this is what I get?  Please.",guilt_trip,Eve,56,False,negative
Eve_332,"After everything I did for you, this is how you repay me?  Please.",guilt_trip,Eve,66,False,negative
Henry_333,"What time will you be home?  You know that, right?",neutral,Henry,50,False,neutral
Charlie_334,"If you hadn’t done that, I wouldn’t be like this.  Just saying.",blame_shifting,Charlie,63,False,negative
Ivy_335,"Sure, I’m not upset. Why would I be?",passive_aggressive,Ivy,36,False,negative
Frank_336,"You'll regret this.  You know that, right?",threat,Frank,42,True,negative
Jack_337,Good morning! Have a great day.,neutral,Jack,31,False,neutral
Frank_338,"You think you can survive without me?  You know that, right?",threat,Frank,60,False,negative
Charlie_339,"After everything I did for you, this is how you repay me?",guilt_trip,Charlie,57,False,negative
Jack_340,"If you hadn’t done that, I wouldn’t be like this.  Please.",blame_shifting,Jack,58,False,negative
Ivy_341,You're always starting fights.,blame_shifting,Ivy,30,False,negative
Charlie_342,I don’t feel like talking.  Okay?,silent_treatment,Charlie,33,False,negative
Jack_343,I don’t feel like talking.  Okay?,silent_treatment,Jack,33,False,negative
Grace_344,"I always put you first, and this is what I get?  Please.",guilt_trip,Grace,56,False,negative
Alice_345,"I've sacrificed so much, and you don't even care.  Just saying.",guilt_trip,Alice,63,False,negative
Bob_346,You're always starting fights.  Okay?,blame_shifting,Bob,37,False,negative
Eve_347,*ignores messages*,silent_treatment,Eve,18,False,negative
Henry_348,You made me act this way.  Please.,blame_shifting,Henry,34,False,negative
